host_id,signup_month,churned_month_offset
H0001,2026-01,
H0002,2026-01,
H0003,2026-01,
H0004,2026-01,
H0005,2026-01,4
H0006,2026-01,4
H0007,2026-01,2
H0008,2026-01,
H0009,2026-01,
H0010,2026-01,
H0011,2026-01,1
H0012,2026-01,
H0013,2026-01,
H0014,2026-01,5
H0015,2026-01,4
H0016,2026-01,4
H0017,2026-01,
H0018,2026-01,
H0019,2026-01,
H0020,2026-01,
H0021,2026-01,
H0022,2026-01,3
H0023,2026-01,
H0024,2026-01,
H0025,2026-01,
H0026,2026-01,
H0027,2026-01,5
H0028,2026-01,
H0029,2026-01,
H0030,2026-01,1
H0031,2026-01,
H0032,2026-01,4
H0033,2026-01,2
H0034,2026-01,
H0035,2026-01,
H0036,2026-01,
H0037,2026-01,
H0038,2026-01,2
H0039,2026-01,
H0040,2026-01,
H0041,2026-01,3
H0042,2026-01,
H0043,2026-01,1
H0044,2026-01,
H0045,2026-01,
H0046,2026-01,
H0047,2026-01,
H0048,2026-01,
H0049,2026-01,
H0050,2026-01,4
H0051,2026-01,
H0052,2026-01,
H0053,2026-01,
H0054,2026-01,
H0055,2026-01,
H0056,2026-01,
H0057,2026-01,2
H0058,2026-01,5
H0059,2026-01,1
H0060,2026-01,
H0061,2026-01,
H0062,2026-01,
H0063,2026-01,
H0064,2026-01,
H0065,2026-01,
H0066,2026-01,
H0067,2026-01,3
H0068,2026-01,
H0069,2026-01,2
H0070,2026-01,
H0071,2026-01,
H0072,2026-01,5
H0073,2026-01,1
H0074,2026-01,
H0075,2026-01,
H0076,2026-01,
H0077,2026-01,
H0078,2026-01,2
H0079,2026-01,
H0080,2026-01,3
H0081,2026-01,
H0082,2026-01,
H0083,2026-01,
H0084,2026-01,2
H0085,2026-01,
H0086,2026-01,
H0087,2026-01,
H0088,2026-01,
H0089,2026-01,
H0090,2026-01,
H0091,2026-01,3
H0092,2026-01,
H0093,2026-01,
H0094,2026-01,
H0095,2026-01,
H0096,2026-01,
H0097,2026-01,
H0098,2026-01,
H0099,2026-01,1
H0100,2026-01,3
H0101,2026-01,1
H0102,2026-01,
H0103,2026-01,
H0104,2026-01,
H0105,2026-01,
H0106,2026-01,6
H0107,2026-01,
H0108,2026-01,
H0109,2026-01,6
H0110,2026-01,2
H0111,2026-01,
H0112,2026-01,4
H0113,2026-01,
H0114,2026-01,
H0115,2026-01,
H0116,2026-01,
H0117,2026-01,
H0118,2026-01,4
H0119,2026-01,
H0120,2026-01,
H0121,2026-01,
H0122,2026-01,
H0123,2026-01,
H0124,2026-01,3
H0125,2026-01,6
H0126,2026-01,
H0127,2026-01,
H0128,2026-01,
H0129,2026-01,1
H0130,2026-01,
H0131,2026-01,
H0132,2026-01,6
H0133,2026-01,3
H0134,2026-01,
H0135,2026-01,
H0136,2026-01,
H0137,2026-01,
H0138,2026-01,
H0139,2026-01,
H0140,2026-01,
H0141,2026-01,
H0142,2026-01,
H0143,2026-01,
H0144,2026-01,
H0145,2026-01,
H0146,2026-01,1
H0147,2026-01,
H0148,2026-01,
H0149,2026-01,2
H0150,2026-01,
H0151,2026-01,
H0152,2026-01,6
H0153,2026-01,3
H0154,2026-01,
H0155,2026-01,
H0156,2026-01,6
H0157,2026-01,
H0158,2026-01,
H0159,2026-01,6
H0160,2026-01,
H0161,2026-01,
H0162,2026-01,
H0163,2026-01,
H0164,2026-01,
H0165,2026-01,2
H0166,2026-01,
H0167,2026-01,
H0168,2026-01,4
H0169,2026-01,1
H0170,2026-01,
H0171,2026-01,
H0172,2026-01,1
H0173,2026-01,
H0174,2026-01,6
H0175,2026-01,
H0176,2026-01,4
H0177,2026-01,
H0178,2026-01,
H0179,2026-01,
H0180,2026-01,3
H0181,2026-01,
H0182,2026-01,3
H0183,2026-01,
H0184,2026-01,
H0185,2026-01,
H0186,2026-01,
H0187,2026-01,
H0188,2026-01,
H0189,2026-01,
H0190,2026-01,6
H0191,2026-01,2
H0192,2026-01,
H0193,2026-01,
H0194,2026-01,
H0195,2026-01,
H0196,2026-01,
H0197,2026-01,
H0198,2026-01,
H0199,2026-01,
H0200,2026-01,
H0201,2026-01,
H0202,2026-01,2
H0203,2026-01,4
H0204,2026-01,
H0205,2026-01,
H0206,2026-01,1
H0207,2026-01,3
H0208,2026-01,
H0209,2026-01,1
H0210,2026-01,4
H0211,2026-01,
H0212,2026-01,
H0213,2026-01,
H0214,2026-01,6
H0215,2026-01,
H0216,2026-01,6
H0217,2026-01,
H0218,2026-01,
H0219,2026-01,
H0220,2026-01,
H0221,2026-01,
H0222,2026-01,
H0223,2026-01,2
H0224,2026-01,
H0225,2026-01,
H0226,2026-01,6
H0227,2026-01,
H0228,2026-01,
H0229,2026-01,
H0230,2026-01,
H0231,2026-01,
H0232,2026-01,
H0233,2026-01,
H0234,2026-01,
H0235,2026-01,5
H0236,2026-01,
H0237,2026-01,
H0238,2026-01,1
H0239,2026-01,
H0240,2026-01,4
H0241,2026-01,
H0242,2026-01,
H0243,2026-01,
H0244,2026-01,
H0245,2026-01,1
H0246,2026-01,
H0247,2026-01,
H0248,2026-01,
H0249,2026-01,
H0250,2026-01,
H0251,2026-01,
H0252,2026-01,
H0253,2026-01,
H0254,2026-01,
H0255,2026-01,4
H0256,2026-01,
H0257,2026-01,
