customer_id,annual_spend,purchase_frequency
C005,178.92,2.6
C064,2220.71,16.1
C011,238.71,2.1
C001,209.28,4.0
C036,907.57,9.0
C062,2117.74,13.6
C029,850.57,8.8
C013,199.58,4.8
C070,2131.48,11.7
C065,2253.53,13.7
C035,1186.83,10.9
C043,806.9,11.1
C050,953.22,9.3
C019,300.01,5.1
C010,147.92,1.0
C023,225.64,3.1
C006,255.31,1.7
C034,947.21,7.3
C057,1749.17,14.1
C067,1527.18,17.0
C040,983.36,9.7
C041,954.71,8.9
C017,214.89,3.2
C045,943.31,11.5
C046,942.04,8.1
C031,1090.18,10.7
C008,236.75,3.4
C059,2184.69,14.9
C048,940.22,9.7
C032,855.14,7.3
C054,2027.48,13.2
C051,2414.21,14.1
C020,171.99,3.2
C063,2396.8,10.5
C026,876.29,7.7
C075,2299.21,15.7
C014,190.68,2.3
C055,2358.12,15.8
C004,185.79,2.8
C018,157.58,3.6
C039,930.97,11.0
C009,190.87,1.7
C073,2535.06,16.9
C007,202.03,2.2
C037,987.54,6.4
C069,2628.64,12.4
C056,2326.57,13.5
C047,1002.33,9.6
C074,2377.8,10.2
C016,197.76,2.7
C028,845.64,8.4
C042,992.93,5.7
C027,874.74,8.0
C049,796.95,6.7
C025,144.79,2.3
C044,918.39,11.8
C068,2424.71,12.2
C058,1708.68,11.6
C012,157.94,3.8
C033,870.8,11.4
C071,2249.86,10.8
C060,2082.07,11.1
C066,1931.54,17.7
C038,1039.0,7.4
C030,998.71,6.7
C002,174.09,2.5
C053,1977.77,11.1
C022,225.99,2.5
C003,275.58,4.2
C024,234.18,2.4
C021,268.06,4.7
C061,2140.34,14.6
C072,2264.9,13.2
C015,227.81,1.5
C052,2352.9,14.1
