customer_id,recency_days,frequency,monetary
C001,5,12,1450.0
C002,340,1,60.0
C003,20,8,890.0
C004,90,2,150.0
C005,10,15,2100.0
C006,60,5,500.0
C007,286,7,928.52
C008,331,2,773.07
C009,128,3,446.47
C010,348,17,779.06
C011,231,5,1103.29
C012,190,17,920.24
C013,225,17,198.25
C014,385,17,845.53
C015,377,2,547.51
C016,283,2,996.2
C017,121,5,561.39
C018,116,1,887.38
C019,233,1,705.85
C020,259,19,909.04
C021,359,2,1561.87
C022,198,12,446.64
C023,137,6,141.52
C024,318,4,490.27
C025,165,11,212.76
C026,225,17,1061.63
C027,307,6,143.45
C028,234,5,834.12
C029,172,2,942.04
C030,152,6,488.58
C031,315,11,1236.47
C032,374,16,1105.15
C033,160,16,2538.95
C034,96,1,488.02
C035,233,9,495.53
C036,180,6,577.51
C037,113,16,773.41
C038,318,3,420.42
C039,52,4,337.6
C040,268,19,32.36
