customer_id,age,annual_spend
C001,56,304.33
C002,69,505.59
C003,46,290.1
C004,32,373.96
C005,60,462.07
C006,25,190.6
C007,38,807.77
C008,56,161.54
C009,36,144.13
C010,40,537.19
C011,28,767.07
C012,28,527.68
C013,41,428.27
C014,53,371.19
C015,57,326.35
C016,41,928.87
C017,20,586.35
C018,39,347.11
C019,19,271.54
C020,41,708.32
C021,61,914.83
C022,47,862.51
C023,55,234.7
C024,19,368.82
C025,38,321.39
C026,50,406.08
C027,29,802.85
C028,39,1100.1
C029,61,601.41
C030,42,279.18
C031,66,454.54
C032,44,1231.06
C033,59,497.03
C034,45,371.81
C035,33,395.58
C036,32,599.58
C037,64,241.4
C038,68,315.41
C039,61,854.36
C040,69,588.2
