customer_id,annual_spend,purchase_frequency,cluster,segment
C005,178.92,2.6,2,Budget Shoppers
C064,2220.71,16.1,1,Big Spenders
C011,238.71,2.1,2,Budget Shoppers
C001,209.28,4.0,2,Budget Shoppers
C036,907.57,9.0,0,Regular Shoppers
C062,2117.74,13.6,1,Big Spenders
C029,850.57,8.8,0,Regular Shoppers
C013,199.58,4.8,2,Budget Shoppers
C070,2131.48,11.7,1,Big Spenders
C065,2253.53,13.7,1,Big Spenders
C035,1186.83,10.9,0,Regular Shoppers
C043,806.9,11.1,0,Regular Shoppers
C050,953.22,9.3,0,Regular Shoppers
C019,300.01,5.1,2,Budget Shoppers
C010,147.92,1.0,2,Budget Shoppers
C023,225.64,3.1,2,Budget Shoppers
C006,255.31,1.7,2,Budget Shoppers
C034,947.21,7.3,0,Regular Shoppers
C057,1749.17,14.1,1,Big Spenders
C067,1527.18,17.0,1,Big Spenders
C040,983.36,9.7,0,Regular Shoppers
C041,954.71,8.9,0,Regular Shoppers
C017,214.89,3.2,2,Budget Shoppers
C045,943.31,11.5,0,Regular Shoppers
C046,942.04,8.1,0,Regular Shoppers
C031,1090.18,10.7,0,Regular Shoppers
C008,236.75,3.4,2,Budget Shoppers
C059,2184.69,14.9,1,Big Spenders
C048,940.22,9.7,0,Regular Shoppers
C032,855.14,7.3,0,Regular Shoppers
C054,2027.48,13.2,1,Big Spenders
C051,2414.21,14.1,1,Big Spenders
C020,171.99,3.2,2,Budget Shoppers
C063,2396.8,10.5,1,Big Spenders
C026,876.29,7.7,0,Regular Shoppers
C075,2299.21,15.7,1,Big Spenders
C014,190.68,2.3,2,Budget Shoppers
C055,2358.12,15.8,1,Big Spenders
C004,185.79,2.8,2,Budget Shoppers
C018,157.58,3.6,2,Budget Shoppers
C039,930.97,11.0,0,Regular Shoppers
C009,190.87,1.7,2,Budget Shoppers
C073,2535.06,16.9,1,Big Spenders
C007,202.03,2.2,2,Budget Shoppers
C037,987.54,6.4,0,Regular Shoppers
C069,2628.64,12.4,1,Big Spenders
C056,2326.57,13.5,1,Big Spenders
C047,1002.33,9.6,0,Regular Shoppers
C074,2377.8,10.2,1,Big Spenders
C016,197.76,2.7,2,Budget Shoppers
C028,845.64,8.4,0,Regular Shoppers
C042,992.93,5.7,0,Regular Shoppers
C027,874.74,8.0,0,Regular Shoppers
C049,796.95,6.7,0,Regular Shoppers
C025,144.79,2.3,2,Budget Shoppers
C044,918.39,11.8,0,Regular Shoppers
C068,2424.71,12.2,1,Big Spenders
C058,1708.68,11.6,1,Big Spenders
C012,157.94,3.8,2,Budget Shoppers
C033,870.8,11.4,0,Regular Shoppers
C071,2249.86,10.8,1,Big Spenders
C060,2082.07,11.1,1,Big Spenders
C066,1931.54,17.7,1,Big Spenders
C038,1039.0,7.4,0,Regular Shoppers
C030,998.71,6.7,0,Regular Shoppers
C002,174.09,2.5,2,Budget Shoppers
C053,1977.77,11.1,1,Big Spenders
C022,225.99,2.5,2,Budget Shoppers
C003,275.58,4.2,2,Budget Shoppers
C024,234.18,2.4,2,Budget Shoppers
C021,268.06,4.7,2,Budget Shoppers
C061,2140.34,14.6,1,Big Spenders
C072,2264.9,13.2,1,Big Spenders
C015,227.81,1.5,2,Budget Shoppers
C052,2352.9,14.1,1,Big Spenders
