customer_id,age,annual_spend,segment
C001,56,304.33,Mature Low-Value
C002,69,505.59,Mature High-Value
C003,46,290.1,Mature Low-Value
C004,32,373.96,Mature Low-Value
C005,60,462.07,Mature Low-Value
C006,25,190.6,Young Low-Value
C007,38,807.77,Mature High-Value
C008,56,161.54,Mature Low-Value
C009,36,144.13,Mature Low-Value
C010,40,537.19,Mature High-Value
C011,28,767.07,Young High-Value
C012,28,527.68,Young High-Value
C013,41,428.27,Mature Low-Value
C014,53,371.19,Mature Low-Value
C015,57,326.35,Mature Low-Value
C016,41,928.87,Mature High-Value
C017,20,586.35,Young High-Value
C018,39,347.11,Mature Low-Value
C019,19,271.54,Young Low-Value
C020,41,708.32,Mature High-Value
C021,61,914.83,Mature High-Value
C022,47,862.51,Mature High-Value
C023,55,234.7,Mature Low-Value
C024,19,368.82,Young Low-Value
C025,38,321.39,Mature Low-Value
C026,50,406.08,Mature Low-Value
C027,29,802.85,Young High-Value
C028,39,1100.1,Mature High-Value
C029,61,601.41,Mature High-Value
C030,42,279.18,Mature Low-Value
C031,66,454.54,Mature Low-Value
C032,44,1231.06,Mature High-Value
C033,59,497.03,Mature Low-Value
C034,45,371.81,Mature Low-Value
C035,33,395.58,Mature Low-Value
C036,32,599.58,Mature High-Value
C037,64,241.4,Mature Low-Value
C038,68,315.41,Mature Low-Value
C039,61,854.36,Mature High-Value
C040,69,588.2,Mature High-Value
