host_id,month_since_signup,monthly_revenue
H001,1,16.73
H001,2,81.66
H001,3,112.38
H001,4,212.4
H001,5,184.73
H001,6,188.46
H002,1,16.39
H002,2,107.78
H002,3,139.68
H002,4,165.1
H002,5,232.76
H002,6,158.08
H003,1,21.25
H003,2,50.6
H003,3,108.12
H003,4,206.5
H003,5,229.92
H003,6,203.6
H004,1,19.31
H004,2,75.48
H004,3,104.52
H004,4,176.25
H004,5,189.45
H004,6,232.57
H005,1,22.06
H005,2,53.55
H005,3,147.78
H005,4,187.29
H005,5,182.15
H005,6,218.0
H006,1,26.19
H006,2,93.97
H006,3,119.86
H006,4,189.8
H006,5,216.18
H006,6,229.9
H007,1,17.12
H007,2,77.22
H007,3,113.45
H007,4,160.53
H007,5,232.42
H007,6,242.35
H008,1,19.57
H008,2,95.05
H008,3,148.68
H008,4,178.71
H008,5,217.2
H008,6,248.29
H009,1,19.79
H009,2,103.47
H009,3,77.13
H009,4,227.12
H009,5,207.94
H009,6,188.22
H010,1,20.55
H010,2,50.19
H010,3,134.73
H010,4,211.78
H010,5,254.88
H010,6,181.05
H011,1,15.15
H011,2,72.47
H011,3,161.97
H011,4,210.85
H011,5,187.12
H011,6,214.78
H012,1,20.58
H012,2,94.53
H012,3,123.15
H012,4,189.19
H012,5,191.77
H012,6,150.14
H013,1,21.78
H013,2,83.92
H013,3,140.12
H013,4,192.26
H013,5,157.23
H013,6,184.24
H014,1,17.94
H014,2,67.97
H014,3,136.13
H014,4,213.33
H014,5,268.66
H014,6,203.71
H015,1,21.55
H015,2,78.88
H015,3,93.95
H015,4,199.13
H015,5,207.03
H015,6,278.55
H016,1,18.85
H016,2,84.52
H016,3,139.17
H016,4,161.43
H016,5,243.57
H016,6,222.59
H017,1,24.75
H017,2,66.36
H017,3,173.67
H017,4,153.74
H017,5,224.81
H017,6,269.63
H018,1,14.06
H018,2,71.51
H018,3,142.39
H018,4,183.39
H018,5,152.67
H018,6,200.24
H019,1,13.63
H019,2,87.1
H019,3,117.93
H019,4,251.15
H019,5,178.57
H019,6,187.47
H020,1,24.88
H020,2,61.54
H020,3,145.46
H020,4,243.14
H020,5,150.75
H020,6,204.04
H021,1,21.56
H021,2,91.73
H021,3,110.31
H021,4,156.42
H021,5,222.62
H021,6,207.71
H022,1,21.5
H022,2,85.2
H022,3,123.68
H022,4,207.66
H022,5,214.89
H022,6,174.64
H023,1,31.19
H023,2,87.11
H023,3,111.41
H023,4,221.67
H023,5,172.1
H023,6,223.74
H024,1,26.95
H024,2,67.69
H024,3,163.12
H024,4,213.62
H024,5,232.74
H024,6,260.03
H025,1,18.53
H025,2,68.69
H025,3,118.65
H025,4,173.08
H025,5,202.4
H025,6,209.16
H026,1,21.66
H026,2,92.41
H026,3,140.31
H026,4,247.97
H026,5,196.07
H026,6,286.95
H027,1,23.75
H027,2,67.14
H027,3,114.3
H027,4,215.92
H027,5,197.46
H027,6,221.35
H028,1,22.84
H028,2,78.91
H028,3,119.68
H028,4,150.01
H028,5,189.93
H028,6,226.0
H029,1,21.28
H029,2,61.31
H029,3,144.16
H029,4,212.72
H029,5,175.17
H029,6,203.03
H030,1,20.35
H030,2,62.86
H030,3,148.59
H030,4,218.51
H030,5,241.55
H030,6,232.46
H031,1,11.73
H031,2,65.93
H031,3,152.36
H031,4,216.95
H031,5,222.38
H031,6,323.98
H032,1,23.43
H032,2,97.03
H032,3,162.9
H032,4,221.5
H032,5,194.36
H032,6,222.82
H033,1,15.36
H033,2,76.45
H033,3,128.35
H033,4,202.7
H033,5,283.12
H033,6,136.94
H034,1,24.12
H034,2,55.81
H034,3,128.67
H034,4,235.94
H034,5,207.17
H034,6,162.76
H035,1,15.71
H035,2,90.19
H035,3,122.47
H035,4,207.14
H035,5,206.54
H035,6,176.69
H036,1,32.86
H036,2,89.51
H036,3,91.4
H036,4,206.15
H036,5,182.66
H036,6,225.87
H037,1,15.24
H037,2,78.28
H037,3,152.12
H037,4,228.57
H037,5,164.49
H037,6,187.06
H038,1,17.15
H038,2,70.2
H038,3,182.37
H038,4,213.36
H038,5,162.45
H038,6,228.01
H039,1,32.73
H039,2,95.49
H039,3,103.54
H039,4,184.02
H039,5,247.76
H039,6,174.86
H040,1,22.66
H040,2,91.62
H040,3,117.75
H040,4,198.04
H040,5,95.61
H040,6,164.5
H041,1,18.48
H041,2,61.28
H041,3,179.18
H041,4,152.81
H041,5,190.15
H041,6,202.28
H042,1,28.65
H042,2,58.46
H042,3,167.92
H042,4,200.34
H042,5,171.87
H042,6,213.11
H043,1,21.19
H043,2,71.0
H043,3,141.68
H043,4,187.28
H043,5,208.83
H043,6,219.65
H044,1,29.52
H044,2,61.43
H044,3,191.19
H044,4,135.58
H044,5,199.88
H044,6,217.24
H045,1,21.69
H045,2,70.66
H045,3,135.01
H045,4,183.73
H045,5,185.11
H045,6,225.78
H046,1,22.14
H046,2,69.61
H046,3,161.59
H046,4,210.14
H046,5,232.43
H046,6,218.59
H047,1,15.03
H047,2,71.6
H047,3,157.94
H047,4,220.14
H047,5,204.29
H047,6,201.84
H048,1,27.67
H048,2,71.13
H048,3,153.13
H048,4,193.33
H048,5,197.65
H048,6,233.93
H049,1,24.95
H049,2,92.2
H049,3,171.33
H049,4,200.69
H049,5,228.02
H049,6,187.85
H050,1,21.94
H050,2,78.05
H050,3,142.33
H050,4,219.64
H050,5,177.39
H050,6,266.42
