day,arm,player_group,avg_sessions,n_players
1,control,existing,2.9904,4000
1,treatment,existing,3.829,4000
2,control,existing,2.9948,4000
2,treatment,existing,3.7606,4000
3,control,existing,3.0021,4000
3,treatment,existing,3.6598,4000
4,control,existing,3.0146,4000
4,treatment,existing,3.6054,4000
5,control,existing,3.0068,4000
5,treatment,existing,3.527,4000
6,control,existing,2.9874,4000
6,treatment,existing,3.4883,4000
7,control,existing,2.9994,4000
7,treatment,existing,3.4403,4000
8,control,existing,2.9966,4000
8,treatment,existing,3.4072,4000
9,control,existing,2.9944,4000
9,treatment,existing,3.367,4000
10,control,existing,2.9999,4000
10,treatment,existing,3.3286,4000
11,control,existing,3.0139,4000
11,treatment,existing,3.3056,4000
12,control,existing,2.981,4000
12,treatment,existing,3.2902,4000
13,control,existing,3.0141,4000
13,treatment,existing,3.2774,4000
14,control,existing,2.987,4000
14,treatment,existing,3.2469,4000
15,control,existing,2.9948,4000
15,treatment,existing,3.2311,4000
16,control,existing,2.99,4000
16,treatment,existing,3.2322,4000
17,control,existing,3.0012,4000
17,treatment,existing,3.1899,4000
18,control,existing,3.0011,4000
18,treatment,existing,3.2146,4000
19,control,existing,3.0136,4000
19,treatment,existing,3.1852,4000
20,control,existing,2.9853,4000
20,treatment,existing,3.1948,4000
21,control,existing,2.9978,4000
21,treatment,existing,3.181,4000
22,control,existing,3.0111,4000
22,treatment,existing,3.1883,4000
23,control,existing,2.9935,4000
23,treatment,existing,3.169,4000
24,control,existing,3.016,4000
24,treatment,existing,3.1579,4000
25,control,existing,2.9879,4000
25,treatment,existing,3.1618,4000
26,control,existing,2.9856,4000
26,treatment,existing,3.1531,4000
27,control,existing,2.9941,4000
27,treatment,existing,3.1655,4000
28,control,existing,2.9942,4000
28,treatment,existing,3.1653,4000
29,control,existing,3.0282,4000
29,treatment,existing,3.1599,4000
30,control,existing,3.0067,4000
30,treatment,existing,3.1566,4000
1,control,new,2.9101,120
1,treatment,new,3.1343,120
2,control,new,2.8422,120
2,treatment,new,3.115,120
3,control,new,2.973,120
3,treatment,new,3.1195,120
4,control,new,2.9547,120
4,treatment,new,2.8731,120
5,control,new,2.8909,120
5,treatment,new,3.1544,120
6,control,new,2.9548,120
6,treatment,new,3.188,120
7,control,new,3.1085,120
7,treatment,new,3.1229,120
8,control,new,2.9695,120
8,treatment,new,3.3777,120
9,control,new,3.1229,120
9,treatment,new,3.0726,120
10,control,new,2.9374,120
10,treatment,new,3.1298,120
11,control,new,2.9664,120
11,treatment,new,3.2477,120
12,control,new,2.9403,120
12,treatment,new,3.2998,120
13,control,new,3.0594,120
13,treatment,new,3.1629,120
14,control,new,3.0601,120
14,treatment,new,3.2475,120
15,control,new,2.997,120
15,treatment,new,3.1869,120
16,control,new,3.0864,120
16,treatment,new,3.2235,120
17,control,new,3.0409,120
17,treatment,new,3.2381,120
18,control,new,3.0058,120
18,treatment,new,3.2444,120
19,control,new,3.0159,120
19,treatment,new,3.1898,120
20,control,new,3.0011,120
20,treatment,new,3.2726,120
21,control,new,3.0617,120
21,treatment,new,2.9924,120
22,control,new,2.9771,120
22,treatment,new,3.2057,120
23,control,new,2.9286,120
23,treatment,new,3.0627,120
24,control,new,3.0647,120
24,treatment,new,3.2271,120
25,control,new,3.0537,120
25,treatment,new,3.0683,120
26,control,new,3.2214,120
26,treatment,new,3.0724,120
27,control,new,2.8941,120
27,treatment,new,3.0479,120
28,control,new,2.9951,120
28,treatment,new,3.0677,120
29,control,new,3.0822,120
29,treatment,new,3.2107,120
30,control,new,3.0473,120
30,treatment,new,3.0685,120
