customer_id,points_score,annual_spend,status
C0362,10314,2336.08,Gold
C0159,8472,2147.69,Silver
C0478,10670,2475.55,Gold
C0518,11734,2765.33,Gold
C0276,9278,2307.13,Silver
C0363,10364,2042.65,Gold
C0311,9721,1775.81,Silver
C0200,9151,1974.59,Silver
C0522,11006,2615.57,Gold
C0091,7001,1730.2,Silver
C0082,7775,1610.74,Silver
C0265,9486,1535.84,Silver
C0355,9637,1765.66,Silver
C0222,9094,1840.07,Silver
C0212,9322,2072.53,Silver
C0064,7166,1451.94,Silver
C0055,7243,2051.82,Silver
C0599,12015,3444.91,Gold
C0300,9937,1963.56,Silver
C0156,8226,1649.81,Silver
C0110,8987,2029.92,Silver
C0613,13914,3130.09,Gold
C0361,10439,2299.47,Gold
C0335,9785,2083.58,Silver
C0632,14624,3183.8,Gold
C0636,14033,2801.32,Gold
C0257,9191,2369.87,Silver
C0662,14611,2722.73,Gold
C0514,11164,2544.68,Gold
C0077,7366,1715.4,Silver
C0667,12884,2737.46,Gold
C0552,11255,3046.2,Gold
C0471,10945,2070.62,Gold
C0136,8098,1891.38,Silver
C0137,8658,2141.54,Silver
C0102,8928,1907.72,Silver
C0073,7564,1700.03,Silver
C0290,9018,1922.24,Silver
C0011,7466,1925.95,Silver
C0656,13463,2944.8,Gold
C0577,12989,2598.14,Gold
C0320,9728,1976.95,Silver
C0032,7160,1652.49,Silver
C0554,11904,2877.97,Gold
C0397,10074,2246.98,Gold
C0465,10801,2339.34,Gold
C0623,12271,2802.55,Gold
C0119,8262,2009.08,Silver
C0056,7831,1766.86,Silver
C0258,9226,1800.37,Silver
C0593,12363,2740.89,Gold
C0347,9529,2302.37,Silver
C0078,7955,1743.29,Silver
C0569,12136,2578.64,Gold
C0079,7454,1881.85,Silver
C0638,12145,2803.37,Gold
C0575,13500,2521.1,Gold
C0337,9846,2576.54,Silver
C0353,9784,2270.06,Silver
C0182,8895,2243.81,Silver
C0165,8877,1805.99,Silver
C0121,8143,1933.65,Silver
C0003,7860,1636.35,Silver
C0166,8337,1574.53,Silver
C0479,10959,2405.94,Gold
C0664,13594,2455.73,Gold
C0626,14424,2955.22,Gold
C0301,9617,1562.71,Silver
C0061,7646,1902.43,Silver
C0134,8008,2054.79,Silver
C0031,7276,2433.76,Silver
C0070,7241,1639.35,Silver
C0293,9395,2088.76,Silver
C0469,10640,2749.35,Gold
C0045,7699,1911.26,Silver
C0071,7776,1838.63,Silver
C0339,9946,1944.8,Silver
C0183,8391,1886.33,Silver
C0515,11181,2320.81,Gold
C0655,12806,2469.16,Gold
C0453,10568,2499.45,Gold
C0177,8397,1639.23,Silver
C0536,11513,2518.41,Gold
C0066,7387,2075.52,Silver
C0616,12957,2790.35,Gold
C0050,7686,1851.95,Silver
C0149,8624,1811.65,Silver
C0368,10436,2021.75,Gold
C0040,7474,1547.9,Silver
C0512,11451,2376.79,Gold
C0307,9553,1868.77,Silver
C0007,7700,1574.9,Silver
C0621,12747,2757.9,Gold
C0665,13607,2330.48,Gold
C0211,9267,2071.7,Silver
C0649,14234,2597.32,Gold
C0132,8036,1938.61,Silver
C0332,9805,2239.27,Silver
C0319,9706,2357.05,Silver
C0627,12265,2927.51,Gold
C0087,7931,2075.75,Silver
C0463,10802,2142.05,Gold
C0282,9368,2191.37,Silver
C0559,11499,2618.1,Gold
C0622,12696,3101.57,Gold
C0639,13981,3045.25,Gold
C0470,10603,2382.14,Gold
C0042,7510,1955.36,Silver
C0193,8469,1901.06,Silver
C0109,8778,1866.54,Silver
C0602,13131,3037.14,Gold
C0057,7504,1336.76,Silver
C0312,9750,2069.3,Silver
C0494,11760,2559.83,Gold
C0285,9367,1951.02,Silver
C0133,8159,1894.52,Silver
C0221,9011,2030.52,Silver
C0251,9248,1969.05,Silver
C0025,7491,1631.11,Silver
C0209,9426,2175.83,Silver
C0303,9878,1713.02,Silver
C0205,9032,1790.45,Silver
C0433,10683,2218.45,Gold
C0480,10991,2302.48,Gold
C0111,8952,1804.48,Silver
C0279,9360,1615.94,Silver
C0083,7942,1678.89,Silver
C0052,7562,1942.51,Silver
C0449,10791,2737.63,Gold
C0538,11814,2587.03,Gold
C0524,11774,2423.65,Gold
C0550,11804,2398.41,Gold
C0213,9064,1947.61,Silver
C0019,7663,1787.65,Silver
C0236,9089,1918.81,Silver
C0400,10133,2206.71,Gold
C0603,14941,2937.52,Gold
C0062,7020,1789.78,Silver
C0146,8919,1788.95,Silver
C0354,9887,2076.17,Silver
C0030,7955,1881.55,Silver
C0164,8895,1771.2,Silver
C0322,9897,2012.15,Silver
C0216,9329,1817.95,Silver
C0652,14108,2145.33,Gold
C0405,10434,2625.07,Gold
C0175,8579,1961.31,Silver
C0431,10715,2362.59,Gold
C0553,11733,2726.36,Gold
C0448,10919,2100.62,Gold
C0341,9807,1653.53,Silver
C0533,11284,2517.44,Gold
C0606,12545,2651.19,Gold
C0210,9100,2104.37,Silver
C0628,14973,3344.9,Gold
C0598,14769,3076.81,Gold
C0585,14667,2828.61,Gold
C0406,10061,2433.04,Gold
C0482,10995,2434.38,Gold
C0481,10855,2507.21,Gold
C0383,10136,2381.12,Gold
C0105,8550,1707.99,Silver
C0115,8414,1714.98,Silver
C0600,12492,2604.01,Gold
C0389,10228,2540.98,Gold
C0468,10717,2337.75,Gold
C0540,11915,2609.33,Gold
C0008,7020,1659.73,Silver
C0090,7387,1833.99,Silver
C0504,11095,3022.76,Gold
C0357,9900,1797.5,Silver
C0571,14735,2574.72,Gold
C0350,9550,2261.55,Silver
C0342,9748,2010.08,Silver
C0235,9457,2117.24,Silver
C0141,8403,1672.17,Silver
C0520,11943,3135.98,Gold
C0044,7475,1742.31,Silver
C0043,7681,1781.39,Silver
C0074,7897,1820.72,Silver
C0168,8821,2203.99,Silver
C0228,9034,1995.25,Silver
C0583,13296,2581.48,Gold
C0067,7600,1816.62,Silver
C0012,7214,1981.57,Silver
C0590,13194,2530.47,Gold
C0545,11470,2972.02,Gold
C0528,11146,2493.25,Gold
C0249,9216,1993.7,Silver
C0336,9834,2031.32,Silver
C0330,9725,1516.52,Silver
C0275,9012,1692.55,Silver
C0391,10407,1877.85,Gold
C0178,8276,2238.46,Silver
C0423,10224,2326.25,Gold
C0412,10025,2313.51,Gold
C0084,7034,1960.71,Silver
C0421,10274,2773.85,Gold
C0333,9597,2294.06,Silver
C0427,10658,2398.34,Gold
C0080,7427,1818.66,Silver
C0024,7343,1873.97,Silver
C0250,9276,1952.46,Silver
C0358,9829,1697.59,Silver
C0214,9416,1775.04,Silver
C0261,9495,2377.01,Silver
C0644,13998,2331.12,Gold
C0297,9075,2014.8,Silver
C0272,9267,1837.5,Silver
C0138,8815,2076.77,Silver
C0291,9176,1973.46,Silver
C0034,7313,1808.92,Silver
C0219,9284,1789.03,Silver
C0248,9419,1871.76,Silver
C0010,7121,1844.47,Silver
C0023,7769,1971.93,Silver
C0287,9341,1862.24,Silver
C0588,12130,3302.81,Gold
C0654,12709,2611.94,Gold
C0643,14996,3078.64,Gold
C0085,7205,1674.07,Silver
C0315,9611,1948.92,Silver
C0495,11238,2209.76,Gold
C0487,10827,2416.31,Gold
C0260,9098,1985.75,Silver
C0204,9379,2066.06,Silver
C0197,8669,1851.74,Silver
C0637,14371,2627.23,Gold
C0094,7105,1978.99,Silver
C0278,9354,1858.51,Silver
C0245,9074,1928.79,Silver
C0450,10781,2306.84,Gold
C0611,13297,3043.34,Gold
C0029,7191,2092.17,Silver
C0185,8194,1645.26,Silver
C0539,11708,2610.18,Gold
C0631,12388,2818.58,Gold
C0179,8815,1751.89,Silver
C0378,10317,2161.14,Gold
C0154,8851,1914.3,Silver
C0076,7091,1772.86,Silver
C0382,10310,2790.81,Gold
C0093,7565,2130.6,Silver
C0376,10330,2996.56,Gold
C0069,7013,1624.8,Silver
C0394,10321,2638.38,Gold
C0356,9683,1932.5,Silver
C0532,11547,2932.75,Gold
C0189,8687,2181.64,Silver
C0016,7372,1706.53,Silver
C0364,10453,2602.25,Gold
C0266,9095,1847.48,Silver
C0237,9417,1946.29,Silver
C0232,9263,1908.38,Silver
C0089,7871,1659.72,Silver
C0564,11592,2579.5,Gold
C0118,8610,1907.48,Silver
C0491,10591,2486.34,Gold
C0549,11260,2801.36,Gold
C0239,9104,1946.39,Silver
C0001,7102,1859.79,Silver
C0661,14273,2928.81,Gold
C0513,11499,3011.79,Gold
C0441,10831,2427.92,Gold
C0321,9840,1832.15,Silver
C0117,8297,2024.21,Silver
C0229,9214,1667.62,Silver
C0292,9099,2050.32,Silver
C0581,13466,3175.56,Gold
C0410,10202,2547.11,Gold
C0145,8672,1882.51,Silver
C0542,11745,3136.11,Gold
C0351,9580,1985.24,Silver
C0604,12310,3257.84,Gold
C0464,10845,2006.01,Gold
C0269,9189,2016.64,Silver
C0432,10935,2716.07,Gold
C0047,7782,1866.8,Silver
C0262,9035,1792.38,Silver
C0196,8749,2061.94,Silver
C0668,13389,2816.92,Gold
C0558,11866,2552.89,Gold
C0108,8640,1864.06,Silver
C0429,10727,2380.19,Gold
C0489,10605,2077.61,Gold
C0305,9767,2042.22,Silver
C0507,11287,2580.77,Gold
C0329,9751,1915.81,Silver
C0597,12920,2745.48,Gold
C0313,9812,1865.54,Silver
C0180,8915,1648.1,Silver
C0328,9691,1856.56,Silver
C0150,8967,1905.16,Silver
C0125,8880,2054.89,Silver
C0531,11914,2740.75,Gold
C0578,14419,2924.06,Gold
