zone,day,hour,block_id,assignment,minutes_into_block,wait_time_min
Austin,0,0,0,Control,0,4.94
Austin,0,0,0,Control,5,5.39
Austin,0,0,0,Control,10,5.44
Austin,0,0,0,Control,15,4.71
Austin,0,0,0,Control,20,4.87
Austin,0,0,0,Control,25,5.23
Austin,0,0,0,Control,30,5.12
Austin,0,0,0,Control,35,5.2
Austin,0,0,0,Control,40,4.99
Austin,0,0,0,Control,45,5.42
Austin,0,0,0,Control,50,5.39
Austin,0,0,0,Control,55,5.22
Austin,0,1,1,Control,0,5.32
Austin,0,1,1,Control,5,4.99
Austin,0,1,1,Control,10,5.29
Austin,0,1,1,Control,15,4.96
Austin,0,1,1,Control,20,5.42
Austin,0,1,1,Control,25,5.19
Austin,0,1,1,Control,30,5.15
Austin,0,1,1,Control,35,5.03
Austin,0,1,1,Control,40,5.51
Austin,0,1,1,Control,45,5.16
Austin,0,1,1,Control,50,5.09
Austin,0,1,1,Control,55,5.11
Austin,0,2,2,Treatment,0,5.29
Austin,0,2,2,Treatment,5,5.11
Austin,0,2,2,Treatment,10,4.93
Austin,0,2,2,Treatment,15,5.16
Austin,0,2,2,Treatment,20,4.53
Austin,0,2,2,Treatment,25,4.5
Austin,0,2,2,Treatment,30,4.42
Austin,0,2,2,Treatment,35,4.78
Austin,0,2,2,Treatment,40,4.91
Austin,0,2,2,Treatment,45,4.6
Austin,0,2,2,Treatment,50,4.42
Austin,0,2,2,Treatment,55,4.42
Austin,0,3,3,Control,0,4.81
Austin,0,3,3,Control,5,4.95
Austin,0,3,3,Control,10,4.84
Austin,0,3,3,Control,15,5.26
Austin,0,3,3,Control,20,5.23
Austin,0,3,3,Control,25,5.25
Austin,0,3,3,Control,30,5.42
Austin,0,3,3,Control,35,5.26
Austin,0,3,3,Control,40,5.37
Austin,0,3,3,Control,45,5.22
Austin,0,3,3,Control,50,5.27
Austin,0,3,3,Control,55,5.36
Austin,0,4,4,Control,0,5.12
Austin,0,4,4,Control,5,5.08
Austin,0,4,4,Control,10,5.04
Austin,0,4,4,Control,15,5.13
Austin,0,4,4,Control,20,5.57
Austin,0,4,4,Control,25,4.98
Austin,0,4,4,Control,30,5.44
Austin,0,4,4,Control,35,4.78
Austin,0,4,4,Control,40,5.12
Austin,0,4,4,Control,45,5.24
Austin,0,4,4,Control,50,5.35
Austin,0,4,4,Control,55,5.38
Austin,0,5,5,Treatment,0,5.11
Austin,0,5,5,Treatment,5,4.89
Austin,0,5,5,Treatment,10,5.03
Austin,0,5,5,Treatment,15,4.58
Austin,0,5,5,Treatment,20,4.31
Austin,0,5,5,Treatment,25,4.34
Austin,0,5,5,Treatment,30,4.4
Austin,0,5,5,Treatment,35,4.75
Austin,0,5,5,Treatment,40,4.66
Austin,0,5,5,Treatment,45,4.8
Austin,0,5,5,Treatment,50,4.52
Austin,0,5,5,Treatment,55,4.67
Austin,0,6,6,Control,0,4.55
Austin,0,6,6,Control,5,4.93
Austin,0,6,6,Control,10,4.84
Austin,0,6,6,Control,15,5.11
Austin,0,6,6,Control,20,5.1
Austin,0,6,6,Control,25,4.9
Austin,0,6,6,Control,30,5.32
Austin,0,6,6,Control,35,5.08
Austin,0,6,6,Control,40,5.2
Austin,0,6,6,Control,45,5.32
Austin,0,6,6,Control,50,5.31
Austin,0,6,6,Control,55,5.37
Austin,0,7,7,Treatment,0,5.09
Austin,0,7,7,Treatment,5,4.99
Austin,0,7,7,Treatment,10,4.4
Austin,0,7,7,Treatment,15,4.27
Austin,0,7,7,Treatment,20,4.3
Austin,0,7,7,Treatment,25,4.38
Austin,0,7,7,Treatment,30,4.73
Austin,0,7,7,Treatment,35,4.4
Austin,0,7,7,Treatment,40,4.53
Austin,0,7,7,Treatment,45,4.95
Austin,0,7,7,Treatment,50,4.54
Austin,0,7,7,Treatment,55,4.81
Austin,0,8,8,Treatment,0,4.58
Austin,0,8,8,Treatment,5,4.39
Austin,0,8,8,Treatment,10,4.54
Austin,0,8,8,Treatment,15,4.84
Austin,0,8,8,Treatment,20,4.2
Austin,0,8,8,Treatment,25,4.74
Austin,0,8,8,Treatment,30,4.69
Austin,0,8,8,Treatment,35,4.48
Austin,0,8,8,Treatment,40,4.27
Austin,0,8,8,Treatment,45,4.65
Austin,0,8,8,Treatment,50,4.5
Austin,0,8,8,Treatment,55,4.69
Austin,0,9,9,Control,0,5.03
Austin,0,9,9,Control,5,4.76
Austin,0,9,9,Control,10,4.75
Austin,0,9,9,Control,15,5.24
Austin,0,9,9,Control,20,5.25
Austin,0,9,9,Control,25,5.54
Austin,0,9,9,Control,30,5.41
Austin,0,9,9,Control,35,5.29
Austin,0,9,9,Control,40,5.57
Austin,0,9,9,Control,45,4.9
Austin,0,9,9,Control,50,5.04
Austin,0,9,9,Control,55,4.97
Austin,0,10,10,Control,0,4.86
Austin,0,10,10,Control,5,5.36
Austin,0,10,10,Control,10,5.14
Austin,0,10,10,Control,15,4.83
Austin,0,10,10,Control,20,4.95
Austin,0,10,10,Control,25,5.28
Austin,0,10,10,Control,30,5.41
Austin,0,10,10,Control,35,5.7
Austin,0,10,10,Control,40,5.93
Austin,0,10,10,Control,45,5.3
Austin,0,10,10,Control,50,4.95
Austin,0,10,10,Control,55,4.67
Austin,0,11,11,Treatment,0,5.0
Austin,0,11,11,Treatment,5,4.91
Austin,0,11,11,Treatment,10,4.67
Austin,0,11,11,Treatment,15,4.59
Austin,0,11,11,Treatment,20,4.89
Austin,0,11,11,Treatment,25,4.67
Austin,0,11,11,Treatment,30,4.59
Austin,0,11,11,Treatment,35,4.37
Austin,0,11,11,Treatment,40,4.21
Austin,0,11,11,Treatment,45,4.51
Austin,0,11,11,Treatment,50,4.61
Austin,0,11,11,Treatment,55,5.07
Austin,0,12,12,Control,0,4.87
Austin,0,12,12,Control,5,4.69
Austin,0,12,12,Control,10,4.71
Austin,0,12,12,Control,15,4.96
Austin,0,12,12,Control,20,5.02
Austin,0,12,12,Control,25,5.73
Austin,0,12,12,Control,30,4.99
Austin,0,12,12,Control,35,5.41
Austin,0,12,12,Control,40,4.97
Austin,0,12,12,Control,45,5.43
Austin,0,12,12,Control,50,5.3
Austin,0,12,12,Control,55,5.16
Austin,0,13,13,Treatment,0,5.04
Austin,0,13,13,Treatment,5,5.12
Austin,0,13,13,Treatment,10,4.7
Austin,0,13,13,Treatment,15,4.32
Austin,0,13,13,Treatment,20,4.31
Austin,0,13,13,Treatment,25,4.67
Austin,0,13,13,Treatment,30,5.02
Austin,0,13,13,Treatment,35,4.67
Austin,0,13,13,Treatment,40,4.6
Austin,0,13,13,Treatment,45,4.7
Austin,0,13,13,Treatment,50,4.95
Austin,0,13,13,Treatment,55,4.68
Austin,0,14,14,Control,0,4.9
Austin,0,14,14,Control,5,4.93
Austin,0,14,14,Control,10,5.39
Austin,0,14,14,Control,15,5.25
Austin,0,14,14,Control,20,4.89
Austin,0,14,14,Control,25,4.86
Austin,0,14,14,Control,30,5.61
Austin,0,14,14,Control,35,5.63
Austin,0,14,14,Control,40,5.16
Austin,0,14,14,Control,45,5.1
Austin,0,14,14,Control,50,5.57
Austin,0,14,14,Control,55,4.92
Austin,0,15,15,Treatment,0,5.36
Austin,0,15,15,Treatment,5,4.91
Austin,0,15,15,Treatment,10,4.82
Austin,0,15,15,Treatment,15,4.59
Austin,0,15,15,Treatment,20,4.71
Austin,0,15,15,Treatment,25,4.98
Austin,0,15,15,Treatment,30,4.65
Austin,0,15,15,Treatment,35,4.79
Austin,0,15,15,Treatment,40,4.12
Austin,0,15,15,Treatment,45,4.62
Austin,0,15,15,Treatment,50,4.42
Austin,0,15,15,Treatment,55,4.32
Austin,0,16,16,Treatment,0,4.54
Austin,0,16,16,Treatment,5,4.86
Austin,0,16,16,Treatment,10,4.3
Austin,0,16,16,Treatment,15,4.64
Austin,0,16,16,Treatment,20,4.51
Austin,0,16,16,Treatment,25,4.55
Austin,0,16,16,Treatment,30,4.88
Austin,0,16,16,Treatment,35,4.76
Austin,0,16,16,Treatment,40,4.96
Austin,0,16,16,Treatment,45,4.59
Austin,0,16,16,Treatment,50,4.45
Austin,0,16,16,Treatment,55,4.57
Austin,0,17,17,Control,0,4.67
Austin,0,17,17,Control,5,4.55
Austin,0,17,17,Control,10,5.03
Austin,0,17,17,Control,15,5.26
Austin,0,17,17,Control,20,5.83
Austin,0,17,17,Control,25,5.67
Austin,0,17,17,Control,30,4.99
Austin,0,17,17,Control,35,5.13
Austin,0,17,17,Control,40,4.83
Austin,0,17,17,Control,45,5.05
Austin,0,17,17,Control,50,5.28
Austin,0,17,17,Control,55,5.5
Austin,0,18,18,Control,0,5.04
Austin,0,18,18,Control,5,4.66
Austin,0,18,18,Control,10,5.16
Austin,0,18,18,Control,15,4.93
Austin,0,18,18,Control,20,5.07
Austin,0,18,18,Control,25,4.98
Austin,0,18,18,Control,30,5.18
Austin,0,18,18,Control,35,4.76
Austin,0,18,18,Control,40,4.83
Austin,0,18,18,Control,45,5.73
Austin,0,18,18,Control,50,4.88
Austin,0,18,18,Control,55,4.93
Austin,0,19,19,Control,0,5.93
Austin,0,19,19,Control,5,4.91
Austin,0,19,19,Control,10,5.11
Austin,0,19,19,Control,15,5.29
Austin,0,19,19,Control,20,5.63
Austin,0,19,19,Control,25,4.95
Austin,0,19,19,Control,30,5.14
Austin,0,19,19,Control,35,5.39
Austin,0,19,19,Control,40,5.31
Austin,0,19,19,Control,45,5.11
Austin,0,19,19,Control,50,5.17
Austin,0,19,19,Control,55,4.86
Austin,0,20,20,Treatment,0,5.13
Austin,0,20,20,Treatment,5,5.07
Austin,0,20,20,Treatment,10,4.68
Austin,0,20,20,Treatment,15,4.75
Austin,0,20,20,Treatment,20,4.88
Austin,0,20,20,Treatment,25,4.67
Austin,0,20,20,Treatment,30,4.72
Austin,0,20,20,Treatment,35,4.64
Austin,0,20,20,Treatment,40,4.63
Austin,0,20,20,Treatment,45,4.45
Austin,0,20,20,Treatment,50,4.71
Austin,0,20,20,Treatment,55,4.6
Austin,0,21,21,Treatment,0,5.02
Austin,0,21,21,Treatment,5,4.72
Austin,0,21,21,Treatment,10,4.44
Austin,0,21,21,Treatment,15,4.35
Austin,0,21,21,Treatment,20,4.93
Austin,0,21,21,Treatment,25,4.69
Austin,0,21,21,Treatment,30,4.75
Austin,0,21,21,Treatment,35,4.19
Austin,0,21,21,Treatment,40,4.86
Austin,0,21,21,Treatment,45,4.74
Austin,0,21,21,Treatment,50,4.35
Austin,0,21,21,Treatment,55,4.51
Austin,0,22,22,Control,0,4.64
Austin,0,22,22,Control,5,4.75
Austin,0,22,22,Control,10,4.98
Austin,0,22,22,Control,15,5.14
Austin,0,22,22,Control,20,5.24
Austin,0,22,22,Control,25,5.57
Austin,0,22,22,Control,30,4.56
Austin,0,22,22,Control,35,5.14
Austin,0,22,22,Control,40,5.24
Austin,0,22,22,Control,45,5.27
Austin,0,22,22,Control,50,5.11
Austin,0,22,22,Control,55,4.76
Austin,0,23,23,Treatment,0,5.63
Austin,0,23,23,Treatment,5,4.63
Austin,0,23,23,Treatment,10,5.03
Austin,0,23,23,Treatment,15,4.55
Austin,0,23,23,Treatment,20,4.61
Austin,0,23,23,Treatment,25,4.36
Austin,0,23,23,Treatment,30,4.54
Austin,0,23,23,Treatment,35,4.95
Austin,0,23,23,Treatment,40,4.77
Austin,0,23,23,Treatment,45,5.06
Austin,0,23,23,Treatment,50,4.92
Austin,0,23,23,Treatment,55,4.74
Austin,1,0,24,Control,0,4.74
Austin,1,0,24,Control,5,5.03
Austin,1,0,24,Control,10,4.94
Austin,1,0,24,Control,15,5.22
Austin,1,0,24,Control,20,5.03
Austin,1,0,24,Control,25,5.45
Austin,1,0,24,Control,30,4.91
Austin,1,0,24,Control,35,5.4
Austin,1,0,24,Control,40,5.15
Austin,1,0,24,Control,45,5.49
Austin,1,0,24,Control,50,5.39
Austin,1,0,24,Control,55,5.66
Austin,1,1,25,Treatment,0,4.81
Austin,1,1,25,Treatment,5,4.99
Austin,1,1,25,Treatment,10,4.53
Austin,1,1,25,Treatment,15,4.5
Austin,1,1,25,Treatment,20,5.01
Austin,1,1,25,Treatment,25,4.79
Austin,1,1,25,Treatment,30,4.45
Austin,1,1,25,Treatment,35,4.37
Austin,1,1,25,Treatment,40,4.64
Austin,1,1,25,Treatment,45,4.32
Austin,1,1,25,Treatment,50,4.46
Austin,1,1,25,Treatment,55,4.71
Austin,1,2,26,Control,0,4.78
Austin,1,2,26,Control,5,4.25
Austin,1,2,26,Control,10,5.09
Austin,1,2,26,Control,15,5.22
Austin,1,2,26,Control,20,5.3
Austin,1,2,26,Control,25,5.6
Austin,1,2,26,Control,30,4.68
Austin,1,2,26,Control,35,5.05
Austin,1,2,26,Control,40,5.35
Austin,1,2,26,Control,45,4.8
Austin,1,2,26,Control,50,5.57
Austin,1,2,26,Control,55,5.29
Austin,1,3,27,Treatment,0,5.06
Austin,1,3,27,Treatment,5,5.21
Austin,1,3,27,Treatment,10,5.09
Austin,1,3,27,Treatment,15,4.69
Austin,1,3,27,Treatment,20,4.69
Austin,1,3,27,Treatment,25,4.7
Austin,1,3,27,Treatment,30,4.41
Austin,1,3,27,Treatment,35,4.59
Austin,1,3,27,Treatment,40,4.59
Austin,1,3,27,Treatment,45,4.72
Austin,1,3,27,Treatment,50,4.88
Austin,1,3,27,Treatment,55,4.36
Austin,1,4,28,Treatment,0,5.0
Austin,1,4,28,Treatment,5,4.44
Austin,1,4,28,Treatment,10,4.42
Austin,1,4,28,Treatment,15,4.68
Austin,1,4,28,Treatment,20,4.84
Austin,1,4,28,Treatment,25,4.63
Austin,1,4,28,Treatment,30,4.96
Austin,1,4,28,Treatment,35,4.84
Austin,1,4,28,Treatment,40,4.84
Austin,1,4,28,Treatment,45,4.77
Austin,1,4,28,Treatment,50,5.21
Austin,1,4,28,Treatment,55,4.58
Austin,1,5,29,Treatment,0,5.03
Austin,1,5,29,Treatment,5,4.51
Austin,1,5,29,Treatment,10,4.65
Austin,1,5,29,Treatment,15,4.96
Austin,1,5,29,Treatment,20,4.23
Austin,1,5,29,Treatment,25,4.32
Austin,1,5,29,Treatment,30,4.23
Austin,1,5,29,Treatment,35,4.43
Austin,1,5,29,Treatment,40,4.74
Austin,1,5,29,Treatment,45,4.76
Austin,1,5,29,Treatment,50,4.7
Austin,1,5,29,Treatment,55,4.27
Austin,1,6,30,Control,0,4.64
Austin,1,6,30,Control,5,4.7
Austin,1,6,30,Control,10,5.12
Austin,1,6,30,Control,15,5.38
Austin,1,6,30,Control,20,5.23
Austin,1,6,30,Control,25,5.39
Austin,1,6,30,Control,30,5.26
Austin,1,6,30,Control,35,5.33
Austin,1,6,30,Control,40,5.02
Austin,1,6,30,Control,45,5.16
Austin,1,6,30,Control,50,5.25
Austin,1,6,30,Control,55,5.41
Austin,1,7,31,Control,0,5.33
Austin,1,7,31,Control,5,5.13
Austin,1,7,31,Control,10,5.17
Austin,1,7,31,Control,15,5.41
Austin,1,7,31,Control,20,4.7
Austin,1,7,31,Control,25,4.88
Austin,1,7,31,Control,30,4.83
Austin,1,7,31,Control,35,4.62
Austin,1,7,31,Control,40,5.03
Austin,1,7,31,Control,45,5.39
Austin,1,7,31,Control,50,5.13
Austin,1,7,31,Control,55,5.25
Austin,1,8,32,Control,0,5.53
Austin,1,8,32,Control,5,5.18
Austin,1,8,32,Control,10,5.54
Austin,1,8,32,Control,15,5.22
Austin,1,8,32,Control,20,4.99
Austin,1,8,32,Control,25,5.05
Austin,1,8,32,Control,30,4.83
Austin,1,8,32,Control,35,4.98
Austin,1,8,32,Control,40,5.11
Austin,1,8,32,Control,45,5.4
Austin,1,8,32,Control,50,5.63
Austin,1,8,32,Control,55,4.85
Austin,1,9,33,Treatment,0,4.94
Austin,1,9,33,Treatment,5,5.13
Austin,1,9,33,Treatment,10,4.79
Austin,1,9,33,Treatment,15,4.17
Austin,1,9,33,Treatment,20,4.86
Austin,1,9,33,Treatment,25,4.48
Austin,1,9,33,Treatment,30,4.49
Austin,1,9,33,Treatment,35,4.36
Austin,1,9,33,Treatment,40,4.46
Austin,1,9,33,Treatment,45,4.73
Austin,1,9,33,Treatment,50,4.58
Austin,1,9,33,Treatment,55,4.71
Austin,1,10,34,Treatment,0,4.96
Austin,1,10,34,Treatment,5,4.54
Austin,1,10,34,Treatment,10,4.26
Austin,1,10,34,Treatment,15,4.89
Austin,1,10,34,Treatment,20,4.55
Austin,1,10,34,Treatment,25,4.91
Austin,1,10,34,Treatment,30,4.72
Austin,1,10,34,Treatment,35,4.6
Austin,1,10,34,Treatment,40,4.72
Austin,1,10,34,Treatment,45,5.12
Austin,1,10,34,Treatment,50,5.15
Austin,1,10,34,Treatment,55,4.65
Austin,1,11,35,Treatment,0,4.9
Austin,1,11,35,Treatment,5,4.42
Austin,1,11,35,Treatment,10,4.71
Austin,1,11,35,Treatment,15,4.62
Austin,1,11,35,Treatment,20,4.71
Austin,1,11,35,Treatment,25,4.42
Austin,1,11,35,Treatment,30,4.23
Austin,1,11,35,Treatment,35,4.11
Austin,1,11,35,Treatment,40,4.35
Austin,1,11,35,Treatment,45,4.51
